LastName,FirstName,BirthDate,BirthCountry,Gender,CitizenshipCountry,CitizenshipBasis,CitizenshipStartDate,PassportCountry,PassportIssueDate,PassportExpirationDate,CurrentEmploymentType,CurrentEmploymentTitle,CurrentEmploymentStartDate,EmailAddress,MilitaryServiceBranch,MilitaryDischargeType,MilitaryDischargeDate
Hawelon,Benito,23/11/78,Kronos,Male,Kronos,BirthNation,23/11/78,,,,Facilities,Truck Driver,21/2/00,Benito.Hawelon@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,1/10/99
Hawelon,Claudio,13/8/83,Kronos,Male,Kronos,BirthNation,13/8/83,,,,Facilities,Truck Driver,13/3/07,Claudio.Hawelon@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,1/10/03
Mies,Henk,23/9/84,Kronos,Male,Kronos,BirthNation,23/9/84,,,,Facilities,Truck Driver,12/7/13,Henk.Mies@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,1/10/04
Morlun,Valeria,22/9/81,Kronos,Female,Kronos,BirthNation,22/9/81,,,,Facilities,Truck Driver,2/12/03,Valeria.Morlun@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,1/10/01
Morlun,Adan,9/10/84,Kronos,Male,Kronos,BirthNation,9/10/84,,,,Facilities,Truck Driver,14/1/06,Adan.Morlun@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,1/10/05
Morluniau,Cecilia,2/9/88,Kronos,Female,Kronos,BirthNation,2/9/88,,,,Facilities,Truck Driver,30/4/09,Cecilia.Morluniau@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,1/10/08
Nant,Irene,13/3/85,Kronos,Female,Kronos,BirthNation,13/3/85,,,,Facilities,Truck Driver,30/11/08,Irene.Nant@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,1/10/05
Scozzese,Dylan,25/5/86,Kronos,Male,Kronos,BirthNation,25/5/86,,,,Facilities,Truck Driver,1/3/07,Dylan.Scozzese@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,1/10/06
Bergen,Linnea,10/7/69,Tethys,Female,Tethys,BirthNation,10/7/69,Tethys,29/4/04,28/4/14,Information Technology,IT Group Manager,4/7/04,Linnea.Bergen@gastech.com.kronos,,,
Alcazar,Lucas,17/4/90,Tethys,Male,Tethys,BirthNation,17/4/90,Tethys,24/1/13,23/1/23,Information Technology,IT Helpdesk,30/11/10,Lucas.Alcazar@gastech.com.kronos,,,
Baza,Isak,12/2/79,Tethys,Male,Tethys,BirthNation,12/2/79,Tethys,13/8/08,12/8/18,Information Technology,IT Technician,20/3/02,Isak.Baza@gastech.com.kronos,,,
Calixto,Nils,26/3/82,Tethys,Male,Tethys,BirthNation,26/3/82,Tethys,12/6/12,11/6/22,Information Technology,IT Technician,19/10/04,Nils.Calixto@gastech.com.kronos,,,
Flecha,Sven,11/11/86,Tethys,Male,Tethys,BirthNation,11/11/86,Tethys,9/10/06,8/10/16,Information Technology,IT Technician,15/10/10,Sven.Flecha@gastech.com.kronos,,,
Herrero,Kanon,3/10/84,Tethys,Male,Tethys,BirthNation,3/10/84,Tethys,10/10/08,9/10/18,Security,Badging Office,20/11/08,Kanon.Herrero@gastech.com.kronos,,,
Lagos,Varja,1/5/76,Tethys,Female,Tethys,BirthNation,1/5/76,Tethys,7/7/13,6/7/23,Security,Badging Office,1/10/06,Varja.Lagos@gastech.com.kronos,,,
Fusil,Stenig,29/4/63,Tethys,Male,Tethys,BirthNation,29/4/63,Tethys,3/4/06,2/4/16,Security,Building Control,5/2/04,Stenig.Fusil@gastech.com.kronos,TethanDefenseForceArmy,HonorableDischarge,1/10/87
Mies,Minke,19/11/92,Kronos,Male,Kronos,BirthNation,19/11/92,,,,Security,Perimeter Control,22/5/13,Minke.Mies@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,1/10/11
Osvaldo,Hennie,31/5/88,Kronos,Male,Kronos,BirthNation,31/5/88,,,,Security,Perimeter Control,7/6/11,Hennie.Osvaldo@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,1/10/10
Vann,Isia,13/12/86,Kronos,Male,Kronos,BirthNation,13/12/86,,,,Security,Perimeter Control,14/12/07,Isia.Vann@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,1/10/07
Vann,Edvard,18/3/91,Kronos,Male,Kronos,BirthNation,18/3/91,,,,Security,Perimeter Control,15/8/13,Edvard.Vann@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,1/10/11
Resumir,Felix,30/6/59,Tethys,Male,Tethys,BirthNation,30/6/59,Tethys,20/3/05,19/3/15,Security,Security Group Manager,15/9/03,Felix.Resumir@gastech.com.kronos,TethanDefenseForceArmy,HonorableDischarge,1/10/97
Bodrogi,Loreto,17/4/89,Kronos,Male,Kronos,BirthNation,17/4/89,,,,Security,Site Control,17/8/13,Loreto.Bodrogi@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,1/10/08
Cocinaro,Hideki,25/12/80,Tethys,Male,Tethys,BirthNation,25/12/80,Tethys,25/5/13,24/5/23,Security,Site Control,1/1/10,Hideki.Cocinaro@gastech.com.kronos,TethanDefenseForceArmy,HonorableDischarge,1/10/09
Ferro,Inga,17/6/89,Kronos,Female,Kronos,BirthNation,17/6/89,,,,Security,Site Control,11/1/13,Inga.Ferro@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,1/10/12
